expression,sentence
Code[program + 2] = Code[program - 3] * 8,The value at the position where the first-dimensional variable is 2 more is 8 times the value at the position where the first-dimensional variable is 3 less.
Spin[wheel / 3] = Spin[wheel + 5] + 6,The value at the position where the first-dimensional variable is divided by 3 is 6 more than the value at the position where the first-dimensional variable is 5 more.
Breathe[air - 1] = Breathe[air - 4] + 9,The value at the position where the first-dimensional variable is 1 less is 9 more than the value at the position where the first-dimensional variable is 4 less.
Drive[car * 2] = Drive[car / 3] - 10,The value at the position where the first-dimensional variable is multiplied by 2 is 10 less than the value at the position where the first-dimensional variable is divided by 3.
Plant[tree - 6] = Plant[tree - 8] / 2,The value at the position where the first-dimensional variable is 6 less is half the value at the position where the first-dimensional variable is 8 less.
Runaway[child + 3] = Runaway[child - 2] + 12,The value at the position where the first-dimensional variable is 3 more is 12 more than the value at the position where the first-dimensional variable is 2 less.
Explore[galaxy / 2] = Explore[galaxy + 4] * 3,The value at the position where the first-dimensional variable is divided by 2 is 3 times the value at the position where the first-dimensional variable is 4 more.
Jumpstart[engine - 4] = Jumpstart[engine - 7] + 8,The value at the position where the first-dimensional variable is 4 less is 8 more than the value at the position where the first-dimensional variable is 7 less.
Conquer[castle * 3] = Conquer[castle - 5] - 11,The value at the position where the first-dimensional variable is multiplied by 3 is 11 less than the value at the position where the first-dimensional variable is 5 less.
Create[world / 4] = Create[world + 6] / 5,The value at the position where the first-dimensional variable is divided by 4 is one-fifth the value at the position where the first-dimensional variable is 6 more.
Fly[bird - 2] = Fly[bird - 4] + 6,The value at the position where the first-dimensional variable is 2 less is 6 more than the value at the position where the first-dimensional variable is 4 less.
Jump[cat + 3] = Jump[cat - 1] * 4,The value at the position where the first-dimensional variable is 3 more is 4 times the value at the position where the first-dimensional variable is 1 less.
Swim[frog / 2] = Swim[frog * 2] - 8,The value at the position where the first-dimensional variable is divided by 2 is 8 less than the value at the position where the first-dimensional variable is multiplied by 2.
Run[dog * 3] = Run[dog - 2] + 5,The value at the position where the first-dimensional variable is multiplied by 3 is 5 more than the value at the position where the first-dimensional variable is 2 less.
Explore[galaxy / 2] = Explore[galaxy + 4] + 10,The value at the position where the first-dimensional variable is divided by 2 is 10 more than the value at the position where the first-dimensional variable is 4 more.
Dive[whale - 1][ocean - 3] = Dive[whale - 2][ocean - 1] + 7,The value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 3 less is 7 more than the value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is 1 less.
Build[house + 4][brick * 2] = Build[house - 3][brick - 1] * 3,The value at the position where the first-dimensional variable is 4 more and the second-dimensional variable is multiplied by 2 is 3 times the value at the position where the first-dimensional variable is 3 less and the second-dimensional variable is 1 less.
Climb[tree / 2][branch - 4] = Climb[tree * 2][branch + 3] - 5,The value at the position where the first-dimensional variable is divided by 2 and the second-dimensional variable is 4 less is 5 less than the value at the position where the first-dimensional variable is multiplied by 2 and the second-dimensional variable is 3 more.
Ride[horse + 3][trail - 2] = Ride[horse - 1][trail + 5] / 4,The value at the position where the first-dimensional variable is 3 more and the second-dimensional variable is 2 less is one-fourth the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 5 more.
Cook[kitchen / 2][recipe + 3] = Cook[kitchen + 1][recipe * 4] + 6,The value at the position where the first-dimensional variable is divided by 2 and the second-dimensional variable is 3 more is 6 more than the value at the position where the first-dimensional variable is 1 more and the second-dimensional variable is multiplied by 4.
Spin[wheel - 3][gear * 2][lever + 4] = Spin[wheel - 2][gear + 1][lever - 1] + 8,"The value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is multiplied by 2, and the third-dimensional variable is 4 more is 8 more than the value at the position where the first-dimensional variable is 2 less, the second-dimensional variable is 1 more, and the third-dimensional variable is 1 less."
Create[idea + 3][brain / 2][thought - 4] = Create[idea - 2][brain * 3][thought + 1] / 2,"The value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is divided by 2, and the third-dimensional variable is 4 less is half the value at the position where the first-dimensional variable is 2 less, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is 1 more."
Explore[space * 4][planet - 1][moon + 5] = Explore[space - 3][planet / 2][moon - 2] * 3,"The value at the position where the first-dimensional variable is multiplied by 4, the second-dimensional variable is 1 less, and the third-dimensional variable is 5 more is 3 times the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is divided by 2, and the third-dimensional variable is 2 less."
Construct[building / 2][floor + 3][room - 2] = Construct[building + 5][floor * 2][room - 1] + 7,"The value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is 3 more, and the third-dimensional variable is 2 less is 7 more than the value at the position where the first-dimensional variable is 5 more, the second-dimensional variable is multiplied by 2, and the third-dimensional variable is 1 less."
Travel[car - 2][road * 3][destination + 4] = Travel[car + 3][road - 1][destination - 5] - 10,"The value at the position where the first-dimensional variable is 2 less, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is 4 more is 10 less than the value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is 1 less, and the third-dimensional variable is 5 less."
T[z] = 0,The value is 0.
j[O] = j[O / 2] + 1,The value is 1 more than the value at the position where the first-dimensional variable is divided by 2.
A[x] = A[x - 1] + 3,The value is 3 more than the value at the position where the first-dimensional variable is 1 less.
P[q + 2] = P[q - 3] * 2,The value at the position where the first-dimensional variable is 2 more is 2 times the value at the position where the first-dimensional variable is 3 less.
X[k - 4] = X[k - 2] / 2,The value at the position where the first-dimensional variable is 4 less is half the value at the position where the first-dimensional variable is 2 less.
F[y] = F[y / 3] + 6,The value is 6 more than the value at the position where the first-dimensional variable is divided by 3.
L[x + 3] = L[x + 2] - 5,The value at the position where the first-dimensional variable is 3 more is 5 less than the value at the position where the first-dimensional variable is 2 more.
R[a - 2] = R[a - 4] + 7,The value at the position where the first-dimensional variable is 2 less is 7 more than the value at the position where the first-dimensional variable is 4 less.
H[t] = H[t - 2] + 4,The value is 4 more than the value at the position where the first-dimensional variable is 2 less.
D[b * 2] = D[b + 3] / 3,The value at the position where the first-dimensional variable is multiplied by 2 is one-third the value at the position where the first-dimensional variable is 3 more.
M[x][y] = 0,The value is 0.
Q[a][b] = Q[a - 1][b - 2] + 5,The value is 5 more than the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 2 less.
L[i][j] = L[i - 2][j - 3] + 8,The value is 8 more than the value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is 3 less.
R[m][n] = R[m + 1][n / 2] - 6,The value is 6 less than the value at the position where the first-dimensional variable is 1 more and the second-dimensional variable is divided by 2.
F[x][y] = F[x * 3][y + 2] * 2,The value is 2 times the value at the position where the first-dimensional variable is multiplied by 3 and the second-dimensional variable is 2 more.
A[z][w] = A[z - 2][w * 4] + 9,The value is 9 more than the value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is multiplied by 4.
T[a][b] = T[a + 4][b / 3] - 10,The value is 10 less than the value at the position where the first-dimensional variable is 4 more and the second-dimensional variable is divided by 3.
J[x][y] = J[x * 2][y + 1] + 3,The value is 3 more than the value at the position where the first-dimensional variable is multiplied by 2 and the second-dimensional variable is 1 more.
P[i][j] = P[i - 3][j - 4] * 5,The value is 5 times the value at the position where the first-dimensional variable is 3 less and the second-dimensional variable is 4 less.
R[q][w] = R[q / 2][w * 3] / 2,The value is half the value at the position where the first-dimensional variable is divided by 2 and the second-dimensional variable is multiplied by 3.
K[x][y][z] = 0,The value is 0.
M[a][b][c] = M[a - 1][b - 2][c - 3] + 5,"The value is 5 more than the value at the position where the first-dimensional variable is 1 less, the second-dimensional variable is 2 less, and the third-dimensional variable is 3 less."
N[i][j][k] = N[i * 2][j / 3][k + 4] * 3,"The value is 3 times the value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is divided by 3, and the third-dimensional variable is 4 more."
O[p][q][r] = O[p - 3][q + 2][r * 4] - 8,"The value is 8 less than the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is 2 more, and the third-dimensional variable is multiplied by 4."
Q[x][y][z] = Q[x / 2][y * 3][z - 1] + 6,"The value is 6 more than the value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is 1 less."
T[a][b][c] = T[a - 4][b / 2][c * 5] / 2,"The value is half the value at the position where the first-dimensional variable is 4 less, the second-dimensional variable is divided by 2, and the third-dimensional variable is multiplied by 5."
R[m][n][o] = R[m + 3][n - 1][o * 2] + 7,"The value is 7 more than the value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is 1 less, and the third-dimensional variable is multiplied by 2."
S[i][j][k] = S[i - 5][j + 4][k / 3] - 11,"The value is 11 less than the value at the position where the first-dimensional variable is 5 less, the second-dimensional variable is 4 more, and the third-dimensional variable is divided by 3."
F[p][q][r] = F[p * 2][q - 2][r + 3] + 9,"The value is 9 more than the value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is 2 less, and the third-dimensional variable is 3 more."
P[x][y][z] = P[x / 3][y * 4][z - 5] * 2,"The value is 2 times the value at the position where the first-dimensional variable is divided by 3, the second-dimensional variable is multiplied by 4, and the third-dimensional variable is 5 less."
V[x] = 0,The value is 0.
B[a] = B[a - 3] + 12,The value is 12 more than the value at the position where the first-dimensional variable is 3 less.
H[z] = H[z + 2] * 5,The value is 5 times the value at the position where the first-dimensional variable is 2 more.
C[t - 1] = C[t - 3] / 4,The value at the position where the first-dimensional variable is 1 less is one-fourth the value at the position where the first-dimensional variable is 3 less.
M[j * 2] = M[j - 4] + 7,The value at the position where the first-dimensional variable is multiplied by 2 is 7 more than the value at the position where the first-dimensional variable is 4 less.
D[x / 2] = D[x + 5] - 6,The value at the position where the first-dimensional variable is divided by 2 is 6 less than the value at the position where the first-dimensional variable is 5 more.
R[a + 4] = R[a - 1] * 8,The value at the position where the first-dimensional variable is 4 more is 8 times the value at the position where the first-dimensional variable is 1 less.
Q[b] = Q[b / 3] + 11,The value is 11 more than the value at the position where the first-dimensional variable is divided by 3.
X[m + 1] = X[m * 2] / 2,The value at the position where the first-dimensional variable is 1 more is half the value at the position where the first-dimensional variable is multiplied by 2.
F[z - 2] = F[z - 4] - 9,The value at the position where the first-dimensional variable is 2 less is 9 less than the value at the position where the first-dimensional variable is 4 less.
T[x][y] = 1,The value is 1.
A[a][b] = A[a - 2][b + 3] + 10,The value is 10 more than the value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is 3 more.
M[k][l] = M[k * 2][l - 4] - 7,The value is 7 less than the value at the position where the first-dimensional variable is multiplied by 2 and the second-dimensional variable is 4 less.
J[x][y] = J[x / 3][y + 2] / 3,The value is one-third the value at the position where the first-dimensional variable is divided by 3 and the second-dimensional variable is 2 more.
L[p][q] = L[p + 1][q - 3] + 6,The value is 6 more than the value at the position where the first-dimensional variable is 1 more and the second-dimensional variable is 3 less.
C[m][n] = C[m - 4][n / 2] * 2,The value is 2 times the value at the position where the first-dimensional variable is 4 less and the second-dimensional variable is divided by 2.
F[x][y] = F[x + 3][y * 3] - 12,The value is 12 less than the value at the position where the first-dimensional variable is 3 more and the second-dimensional variable is multiplied by 3.
T[r][s] = T[r * 3][s + 4] + 14,The value is 14 more than the value at the position where the first-dimensional variable is multiplied by 3 and the second-dimensional variable is 4 more.
P[u][v] = P[u - 1][v + 2] / 2,The value is half the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 2 more.
D[m][n] = D[m / 4][n * 2] + 5,The value is 5 more than the value at the position where the first-dimensional variable is divided by 4 and the second-dimensional variable is multiplied by 2.
K[x][y][z] = 2,The value is 2.
H[a][b][c] = H[a - 3][b - 4][c - 5] + 9,"The value is 9 more than the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is 4 less, and the third-dimensional variable is 5 less."
M[x][y][z] = M[x * 2][y + 3][z - 1] / 4,"The value is one-fourth the value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is 3 more, and the third-dimensional variable is 1 less."
N[i][j][k] = N[i - 2][j * 3][k / 2] * 3,"The value is 3 times the value at the position where the first-dimensional variable is 2 less, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is divided by 2."
R[a][b][c] = R[a + 1][b / 2][c * 4] - 8,"The value is 8 less than the value at the position where the first-dimensional variable is 1 more, the second-dimensional variable is divided by 2, and the third-dimensional variable is multiplied by 4."
T[x][y][z] = T[x - 4][y + 2][z / 3] + 11,"The value is 11 more than the value at the position where the first-dimensional variable is 4 less, the second-dimensional variable is 2 more, and the third-dimensional variable is divided by 3."
F[m][n][o] = F[m / 2][n - 3][o + 4] + 7,"The value is 7 more than the value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is 3 less, and the third-dimensional variable is 4 more."
J[q][w][e] = J[q * 3][w - 1][e + 2] / 6,"The value is one-sixth the value at the position where the first-dimensional variable is multiplied by 3, the second-dimensional variable is 1 less, and the third-dimensional variable is 2 more."
C[x][y][z] = C[x + 3][y / 4][z * 2] - 15,"The value is 15 less than the value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is divided by 4, and the third-dimensional variable is multiplied by 2."
P[a][b][c] = P[a - 5][b * 2][c + 1] + 13,"The value is 13 more than the value at the position where the first-dimensional variable is 5 less, the second-dimensional variable is multiplied by 2, and the third-dimensional variable is 1 more."
M[x][y] = 0,The value is 0.
J[a][b] = J[a - 3][b + 2] + 6,The value is 6 more than the value at the position where the first-dimensional variable is 3 less and the second-dimensional variable is 2 more.
H{k}{l} = H{k * 2}{l - 4} - 8,The value is 8 less than the value at the position where the first-dimensional variable is multiplied by 2 and the second-dimensional variable is 4 less.
"F[x,y] = F[x / 3,y + 5] * 4",The value is 4 times the value at the position where the first-dimensional variable is divided by 3 and the second-dimensional variable is 5 more.
P{r}[s] = P{r + 4}[s - 3] / 5,The value is one-fifth the value at the position where the first-dimensional variable is 4 more and the second-dimensional variable is 3 less.
"D<p,q> = D<p - 2,q / 3> + 9",The value is 9 more than the value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is divided by 3.
C[x][y] = C[x + 5][y - 1] - 12,The value is 12 less than the value at the position where the first-dimensional variable is 5 more and the second-dimensional variable is 1 less.
"L[r,s] = L[r * 3,s + 3] + 7",The value is 7 more than the value at the position where the first-dimensional variable is multiplied by 3 and the second-dimensional variable is 3 more.
"T[m,n] = T[m - 4,n * 2] / 6",The value is one-sixth the value at the position where the first-dimensional variable is 4 less and the second-dimensional variable is multiplied by 2.
"A<p,q> = A<p / 2,q - 3> * 5",The value is 5 times the value at the position where the first-dimensional variable is divided by 2 and the second-dimensional variable is 3 less.
"T[r,u,i] = 0",The value is 0.
"M{a,b,c} = M{a - 3,b - 4,c - 5} + 10","The value is 10 more than the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is 4 less, and the third-dimensional variable is 5 less."
"F[x,y,z] = F[x * 2,y + 1,z - 4] * 2","The value is 2 times the value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is 1 more, and the third-dimensional variable is 4 less."
"C<x,y,z> = C<x / 3,y * 2,z + 5> / 4","The value is one-fourth the value at the position where the first-dimensional variable is divided by 3, the second-dimensional variable is multiplied by 2, and the third-dimensional variable is 5 more."
R[i][j][k] = R[i - 1][j - 2][k - 3] + 6,"The value is 6 more than the value at the position where the first-dimensional variable is 1 less, the second-dimensional variable is 2 less, and the third-dimensional variable is 3 less."
N{p}{q}{r} = N{p + 4}{q - 3}{r * 2} - 11,"The value is 11 less than the value at the position where the first-dimensional variable is 4 more, the second-dimensional variable is 3 less, and the third-dimensional variable is multiplied by 2."
"H(r,s,t) = H(r / 2,s * 3,t - 1) + 8","The value is 8 more than the value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is 1 less."
"L<a,b,c> = L<a - 3,b / 4,c + 6> / 3","The value is one-third the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is divided by 4, and the third-dimensional variable is 6 more."
"P{x,y,z} = P{x + 2,y - 5,z * 4} * 7","The value is 7 times the value at the position where the first-dimensional variable is 2 more, the second-dimensional variable is 5 less, and the third-dimensional variable is multiplied by 4."
"F<a,b,c> = F<a * 3,b + 1,c / 2> - 9","The value is 9 less than the value at the position where the first-dimensional variable is multiplied by 3, the second-dimensional variable is 1 more, and the third-dimensional variable is divided by 2."
"J<x,y,z> = J<x / 4,y - 3,z + 5> + 14","The value is 14 more than the value at the position where the first-dimensional variable is divided by 4, the second-dimensional variable is 3 less, and the third-dimensional variable is 5 more."
"D(a,b,c) = D(a - 5,b * 3,c / 2) * 4","The value is 4 times the value at the position where the first-dimensional variable is 5 less, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is divided by 2."
"R{p,q,r} = R{p / 2,q + 1,r * 3} / 2","The value is half the value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is 1 more, and the third-dimensional variable is multiplied by 3."
"K[x,y,z] = K[x + 3,y - 4,z / 2] - 12","The value is 12 less than the value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is 4 less, and the third-dimensional variable is divided by 2."
"P(a,b,c) = P(a - 1,b * 4,c + 3) + 13","The value is 13 more than the value at the position where the first-dimensional variable is 1 less, the second-dimensional variable is multiplied by 4, and the third-dimensional variable is 3 more."
"T{a,b,c} = T{a * 2,b / 2,c + 1} - 7","The value is 7 less than the value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is divided by 2, and the third-dimensional variable is 1 more."
"M[a,b,c] = M[a - 3,b + 4,c / 3] + 5","The value is 5 more than the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is 4 more, and the third-dimensional variable is divided by 3."
M[x][y] = 1,The value is 1.
"J<p,q> = J<p - 1,q + 2> + 6",The value is 6 more than the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 2 more.
"F{x,y} = F{x * 2,y - 3} - 7",The value is 7 less than the value at the position where the first-dimensional variable is multiplied by 2 and the second-dimensional variable is 3 less.
H{r}{s} = H{r + 3}{s / 2} / 3,The value is one-third the value at the position where the first-dimensional variable is 3 more and the second-dimensional variable is divided by 2.
"T<x,y> = T<x / 2,y + 4> * 2",The value is 2 times the value at the position where the first-dimensional variable is divided by 2 and the second-dimensional variable is 4 more.
"D{m,n} = D{m - 5,n * 3} + 8",The value is 8 more than the value at the position where the first-dimensional variable is 5 less and the second-dimensional variable is multiplied by 3.
"P[r,s] = P[r * 3,s - 2] - 9",The value is 9 less than the value at the position where the first-dimensional variable is multiplied by 3 and the second-dimensional variable is 2 less.
"Q<a,b> = Q<a + 4,b / 3> + 12",The value is 12 more than the value at the position where the first-dimensional variable is 4 more and the second-dimensional variable is divided by 3.
A[x][y] = A[x - 2][y + 5] * 3,The value is 3 times the value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is 5 more.
"C<p,q> = C<p * 2,q - 4> / 2",The value is half the value at the position where the first-dimensional variable is multiplied by 2 and the second-dimensional variable is 4 less.
"K<a,b,c> = 0",The value is 0.
M[x][y][z] = M[x - 3][y * 2][z + 4] + 6,"The value is 6 more than the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is multiplied by 2, and the third-dimensional variable is 4 more."
"J<p,q,r> = J<p / 2,q - 1,r + 3> - 8","The value is 8 less than the value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is 1 less, and the third-dimensional variable is 3 more."
"F{a,b,c} = F{a + 3,b * 4,c / 2} / 4","The value is one-fourth the value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is multiplied by 4, and the third-dimensional variable is divided by 2."
"R[i,j,k] = R[i - 1,j / 3,k * 2] + 10","The value is 10 more than the value at the position where the first-dimensional variable is 1 less, the second-dimensional variable is divided by 3, and the third-dimensional variable is multiplied by 2."
"C<x,y,z> = C<x * 2,y - 4,z + 1> * 5","The value is 5 times the value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is 4 less, and the third-dimensional variable is 1 more."
"H{p,q,r} = H{p - 4,q * 3,r / 2} + 7","The value is 7 more than the value at the position where the first-dimensional variable is 4 less, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is divided by 2."
"T<a,b,c> = T<a / 3,b + 2,c - 5> / 6","The value is one-sixth the value at the position where the first-dimensional variable is divided by 3, the second-dimensional variable is 2 more, and the third-dimensional variable is 5 less."
"L(x,y,z) = L(x * 3,y / 4,z - 2) + 9","The value is 9 more than the value at the position where the first-dimensional variable is multiplied by 3, the second-dimensional variable is divided by 4, and the third-dimensional variable is 2 less."
"P<p,q,r> = P<p + 2,q - 1,r * 3> - 11","The value is 11 less than the value at the position where the first-dimensional variable is 2 more, the second-dimensional variable is 1 less, and the third-dimensional variable is multiplied by 3."
"T[y+3,q*7,u/2] = T[y+3,q*12,u/2] / 9","The value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is multiplied by 7, and the third-dimensional variable is divided by 2 is one-ninth the value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is multiplied by 12, and the third-dimensional variable is divided by 2."
"P[a-2,b+4,c*3] = P[a-5,b+8,c*3] + 7","The value at the position where the first-dimensional variable is 2 less, the second-dimensional variable is 4 more, and the third-dimensional variable is multiplied by 3 is 7 more than the value at the position where the first-dimensional variable is 5 less, the second-dimensional variable is 8 more, and the third-dimensional variable is multiplied by 3."
"F[x*2,y/4,z+5] = F[x*3,y/4,z+5] - 6","The value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is divided by 4, and the third-dimensional variable is 5 more is 6 less than the value at the position where the first-dimensional variable is multiplied by 3, the second-dimensional variable is divided by 4, and the third-dimensional variable is 5 more."
"R[a+1,b/2,c*3] = R[a+1,b*3,c*3] * 5","The value at the position where the first-dimensional variable is 1 more, the second-dimensional variable is divided by 2, and the third-dimensional variable is multiplied by 3 is 5 times the value at the position where the first-dimensional variable is 1 more, the second-dimensional variable is multiplied by 3, and the third-dimensional variable is multiplied by 3."
"M[p-4,q*2,r/3] = M[p-4,q*5,r/3] + 11","The value at the position where the first-dimensional variable is 4 less, the second-dimensional variable is multiplied by 2, and the third-dimensional variable is divided by 3 is 11 more than the value at the position where the first-dimensional variable is 4 less, the second-dimensional variable is multiplied by 5, and the third-dimensional variable is divided by 3."
"H[u+3,v-5,w*2] = H[u+6,v-5,w*4] / 8","The value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is 5 less, and the third-dimensional variable is multiplied by 2 is one-eighth the value at the position where the first-dimensional variable is 6 more, the second-dimensional variable is 5 less, and the third-dimensional variable is multiplied by 4."
"L[x/3,y+2,z-1] = L[x/3,y+5,z-1] - 13","The value at the position where the first-dimensional variable is divided by 3, the second-dimensional variable is 2 more, and the third-dimensional variable is 1 less is 13 less than the value at the position where the first-dimensional variable is divided by 3, the second-dimensional variable is 5 more, and the third-dimensional variable is 1 less."
"T[a*4,b/3,c+2] = T[a*8,b/3,c+2] + 9","The value at the position where the first-dimensional variable is multiplied by 4, the second-dimensional variable is divided by 3, and the third-dimensional variable is 2 more is 9 more than the value at the position where the first-dimensional variable is multiplied by 8, the second-dimensional variable is divided by 3, and the third-dimensional variable is 2 more."
"P[m+5,n-4,o*2] = P[m+5,n-4,o*3] / 10","The value at the position where the first-dimensional variable is 5 more, the second-dimensional variable is 4 less, and the third-dimensional variable is multiplied by 2 is one-tenth the value at the position where the first-dimensional variable is 5 more, the second-dimensional variable is 4 less, and the third-dimensional variable is multiplied by 3."
"R[x*2,y+1,z/3] = R[x*4,y+1,z/3] * 7","The value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is 1 more, and the third-dimensional variable is divided by 3 is 7 times the value at the position where the first-dimensional variable is multiplied by 4, the second-dimensional variable is 1 more, and the third-dimensional variable is divided by 3."
"L[q-1,r/2,s*3] = L[q-2,r/2,s*5] + 12","The value at the position where the first-dimensional variable is 1 less, the second-dimensional variable is divided by 2, and the third-dimensional variable is multiplied by 3 is 12 more than the value at the position where the first-dimensional variable is 2 less, the second-dimensional variable is divided by 2, and the third-dimensional variable is multiplied by 5."
"F[a*3,b+5,c/4] = F[a*6,b+5,c/4] - 14","The value at the position where the first-dimensional variable is multiplied by 3, the second-dimensional variable is 5 more, and the third-dimensional variable is divided by 4 is 14 less than the value at the position where the first-dimensional variable is multiplied by 6, the second-dimensional variable is 5 more, and the third-dimensional variable is divided by 4."
"P[m/4,n+3,o*2] = P[m/2,n+3,o*4] / 15","The value at the position where the first-dimensional variable is divided by 4, the second-dimensional variable is 3 more, and the third-dimensional variable is multiplied by 2 is one-fifteenth the value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is 3 more, and the third-dimensional variable is multiplied by 4."
"T[r-3,u*4,i/2] = T[r-3,u*8,i/2] * 6","The value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is multiplied by 4, and the third-dimensional variable is divided by 2 is 6 times the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is multiplied by 8, and the third-dimensional variable is divided by 2."
"H[x+5,y/2,z*3] = H[x+7,y/2,z*3] + 8","The value at the position where the first-dimensional variable is 5 more, the second-dimensional variable is divided by 2, and the third-dimensional variable is multiplied by 3 is 8 more than the value at the position where the first-dimensional variable is 7 more, the second-dimensional variable is divided by 2, and the third-dimensional variable is multiplied by 3."
"T[x+3,y*2,z/4] = T[x+6,y*4,z/8] + 5","The value at the position where the first-dimensional variable is 3 more, the second-dimensional variable is multiplied by 2, and the third-dimensional variable is divided by 4 is 5 more than the value at the position where the first-dimensional variable is 6 more, the second-dimensional variable is multiplied by 4, and the third-dimensional variable is divided by 8."
"P[a-2,b/3,c*5] = P[a-3,b/6,c*10] - 7","The value at the position where the first-dimensional variable is 2 less, the second-dimensional variable is divided by 3, and the third-dimensional variable is multiplied by 5 is 7 less than the value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is divided by 6, and the third-dimensional variable is multiplied by 10."
"L[r*4,s+2,t-5] = L[r*8,s+4,t-10] * 3","The value at the position where the first-dimensional variable is multiplied by 4, the second-dimensional variable is 2 more, and the third-dimensional variable is 5 less is 3 times the value at the position where the first-dimensional variable is multiplied by 8, the second-dimensional variable is 4 more, and the third-dimensional variable is 10 less."
"H[x/2,y-3,z+7] = H[x/4,y-6,z+14] / 2","The value at the position where the first-dimensional variable is divided by 2, the second-dimensional variable is 3 less, and the third-dimensional variable is 7 more is half the value at the position where the first-dimensional variable is divided by 4, the second-dimensional variable is 6 less, and the third-dimensional variable is 14 more."
"C[m+5,n-4,o*3] = C[m+10,n-8,o*6] - 11","The value at the position where the first-dimensional variable is 5 more, the second-dimensional variable is 4 less, and the third-dimensional variable is multiplied by 3 is 11 less than the value at the position where the first-dimensional variable is 10 more, the second-dimensional variable is 8 less, and the third-dimensional variable is multiplied by 6."
"D[a*3,b/4,c-2] = D[a*6,b/8,c-4] + 9","The value at the position where the first-dimensional variable is multiplied by 3, the second-dimensional variable is divided by 4, and the third-dimensional variable is 2 less is 9 more than the value at the position where the first-dimensional variable is multiplied by 6, the second-dimensional variable is divided by 8, and the third-dimensional variable is 4 less."
"T[u+7,v*5,w/3] = T[u+14,v*10,w/6] * 4","The value at the position where the first-dimensional variable is 7 more, the second-dimensional variable is multiplied by 5, and the third-dimensional variable is divided by 3 is 4 times the value at the position where the first-dimensional variable is 14 more, the second-dimensional variable is multiplied by 10, and the third-dimensional variable is divided by 6."
"R[i-3,j/2,k+9] = R[i-6,j/4,k+18] / 7","The value at the position where the first-dimensional variable is 3 less, the second-dimensional variable is divided by 2, and the third-dimensional variable is 9 more is one-seventh the value at the position where the first-dimensional variable is 6 less, the second-dimensional variable is divided by 4, and the third-dimensional variable is 18 more."
"H[p*2,q/5,r+6] = H[p*4,q/10,r+12] - 8","The value at the position where the first-dimensional variable is multiplied by 2, the second-dimensional variable is divided by 5, and the third-dimensional variable is 6 more is 8 less than the value at the position where the first-dimensional variable is multiplied by 4, the second-dimensional variable is divided by 10, and the third-dimensional variable is 12 more."
